"sale-tag","x-link-to href","sr-only","img-responsive src","img-responsive src 2","product-name","product-sale-price","product-list-price","merchant-flags"
"Save
      
          25%","https://www.ae.com/intl/en/p/women/jeans/flare-bootcut-jeans/ae-stretch-super-low-rise-kick-bootcut-jean/1437_6118_100","Link to product AE Stretch Super Low-Rise Kick Bootcut Jean","https://s7d2.scene7.com/is/image/aeo/1437_6118_100_l1?$plp-web-desktop$&fmt=jpeg","https://s7d2.scene7.com/is/image/aeo/1437_6118_100_of?$plp-web-desktop$&fmt=jpeg","AE Stretch Super Low-Rise Kick Bootcut Jean","$52.46 USD","$69.95 USD",""
"Save
      
          25%","https://www.ae.com/intl/en/p/women/jeans/curvy-jeans/ae-stretch-curvy-high-waisted-stovepipe-jean/4431_6225_851","Link to product AE Stretch Curvy High-Waisted Stovepipe Jean","https://s7d2.scene7.com/is/image/aeo/4431_6225_851_of?$plp-web-desktop$&fmt=jpeg","https://s7d2.scene7.com/is/image/aeo/4431_6225_851_ob?$plp-web-desktop$&fmt=jpeg","AE Stretch Curvy High-Waisted Stovepipe Jean","$44.96 USD","$59.95 USD","Online Exclusive"
"Save
      
          25%","https://www.ae.com/intl/en/p/women/jeans/baggy-wide-leg-jeans/ae-dreamy-drape-stretch-low-rise-baggy-ultra-wide-leg-jean/0437_6106_167","Link to product AE Dreamy Drape Stretch Low-Rise Baggy Ultra-Wide Leg Jean","https://s7d2.scene7.com/is/image/aeo/0437_6106_167_of?$plp-web-desktop$&fmt=jpeg","https://s7d2.scene7.com/is/image/aeo/0437_6106_167_ob?$plp-web-desktop$&fmt=jpeg","AE Dreamy Drape Stretch Low-Rise Baggy Ultra-Wide Leg Jean","$44.96 USD","$59.95 USD",""
"Save
      
          25%","https://www.ae.com/intl/en/p/women/jeans/baggy-wide-leg-jeans/ae-dreamy-drape-strigid-low-rise-baggy-ultra-wide-leg-jean/0437_6053_139","Link to product AE Dreamy Drape Strigid Low-Rise Baggy Ultra-Wide Leg Jean","https://s7d2.scene7.com/is/image/aeo/0437_6053_139_l1?$plp-web-desktop$&fmt=jpeg","https://s7d2.scene7.com/is/image/aeo/0437_6053_139_of?$plp-web-desktop$&fmt=jpeg","AE Dreamy Drape Strigid Low-Rise Baggy Ultra-Wide Leg Jean","$44.96 USD","$59.95 USD",""
"Save
      
          25%","https://www.ae.com/intl/en/p/women/jeans/flare-bootcut-jeans/ae-luxe-super-high-waisted-flare-jean/1436_5838_909","Link to product AE Luxe Super High-Waisted Flare Jean","https://s7d2.scene7.com/is/image/aeo/1436_5838_909_of?$plp-web-desktop$&fmt=jpeg","https://s7d2.scene7.com/is/image/aeo/1436_5838_909_ob?$plp-web-desktop$&fmt=jpeg","AE Luxe Super High-Waisted Flare Jean","$59.96 USD","$79.95 USD",""
"Save
      
          25%","https://www.ae.com/intl/en/p/women/jeans/flare-bootcut-jeans/ae-next-level-high-waisted-kick-bootcut-crop-jean/1437_5541_506","Link to product AE Next Level High-Waisted Kick Bootcut Crop Jean","https://s7d2.scene7.com/is/image/aeo/1437_5541_506_of?$plp-web-desktop$&fmt=jpeg","https://s7d2.scene7.com/is/image/aeo/1437_5541_506_ob?$plp-web-desktop$&fmt=jpeg","AE Next Level High-Waisted Kick Bootcut Crop Jean","$37.46 USD","$49.95 USD",""
"Save
      
          25%","https://www.ae.com/intl/en/p/women/jeans/flare-bootcut-jeans/ae-next-level-super-high-waisted-flare-jean/1436_5865_927","Link to product AE Next Level Super High-Waisted Flare Jean","https://s7d2.scene7.com/is/image/aeo/1436_5865_927_l1?$plp-web-desktop$&fmt=jpeg","https://s7d2.scene7.com/is/image/aeo/1436_5865_927_of?$plp-web-desktop$&fmt=jpeg","AE Next Level Super High-Waisted Flare Jean","$44.96 USD","$59.95 USD",""
"Save
      
          25%","https://www.ae.com/intl/en/p/women/jeans/flare-bootcut-jeans/ae-next-level-high-waisted-kick-bootcut-crop-jean/1437_5531_841","Link to product AE Next Level High-Waisted Kick Bootcut Crop Jean","https://s7d2.scene7.com/is/image/aeo/1437_5531_841_of?$plp-web-desktop$&fmt=jpeg","https://s7d2.scene7.com/is/image/aeo/1437_5531_841_ob?$plp-web-desktop$&fmt=jpeg","AE Next Level High-Waisted Kick Bootcut Crop Jean","$44.96 USD","$59.95 USD",""
"Save
      
          25%","https://www.ae.com/intl/en/p/women/jeans/curvy-jeans/ae-next-level-curvy-super-high-waisted-flare-jean/4434_5977_068","Link to product AE Next Level Curvy Super High-Waisted Flare Jean","https://s7d2.scene7.com/is/image/aeo/4434_5977_068_of?$plp-web-desktop$&fmt=jpeg","https://s7d2.scene7.com/is/image/aeo/4434_5977_068_ob?$plp-web-desktop$&fmt=jpeg","AE Next Level Curvy Super High-Waisted Flare Jean","$44.96 USD","$59.95 USD",""
"Save
      
          25%","https://www.ae.com/intl/en/p/women/jeans/curvy-jeans/strigid-curvy-high-waisted-stovepipe-jean/4431_6241_432","Link to product Strigid Curvy High-Waisted Stovepipe Jean","https://s7d2.scene7.com/is/image/aeo/4431_6241_432_f?$plp-web-desktop$&fmt=jpeg","https://s7d2.scene7.com/is/image/aeo/4431_6241_432_b?$plp-web-desktop$&fmt=jpeg","Strigid Curvy High-Waisted Stovepipe Jean","$52.46 USD","$69.95 USD","New + Online Exclusive"
