"styles_ndsLink__GUaai href","styles_styledBodyMdText__lJVEV","styles_ndsTruncate__0rtO0","styles_ndsLink__GUaai","styles_ratingsAndReviews__B6_gt href","h-text-bold 2","h-text-greenDark","h-text-grayDark","styles_btn__1hjpW","h-text-grayDark 2","styles_styledBodyMdText__lJVEV 2","styles_styledBodySmText__v0z_0"
"https://www.target.com/p/judy-blue-high-rise-ankle-straight-jeans/-/A-1010863015?preselect=1010863025#lnk=sametab","$72.45 - $83.90","Judy Blue High Rise Ankle Straight Jeans","Judy Blue","","Shipping","arrives Thu, Apr 23","Shipping dates may vary","Add to cart","reg","$75.00 - $85.00","Sale"
"https://www.target.com/p/lands-end-women-s-starfish-mid-rise-knit-denim-straight-jeans/-/A-88692214?preselect=88692224#lnk=sametab","$59.46","Lands' End Women's Starfish High Rise Knit Denim Straight Jeans","Lands' End","[object Object]","Shipping","arrives Thu, Apr 23","Shipping dates may vary","Add to cart","reg","$84.95","Sale"
"https://www.target.com/p/alfred-dunner-petite-women-s-super-stretch-comfort-short-length-jeans/-/A-1002498356#lnk=sametab","$29.99","Alfred Dunner Petite Women's Super Stretch Comfort Short Length Jeans , Medium Denim , 18P","Alfred Dunner","[object Object]","Shipping","arrives Thu, Apr 23","Ships free -","Add to cart","reg","$54.00","Sale"
"https://www.target.com/p/lands-end-women-s-recover-high-rise-wide-leg-blue-jeans/-/A-92889997?preselect=92890114#lnk=sametab","$69.96","Lands' End Women's Recover High Rise Wide Leg Blue Jeans","Lands' End","[object Object]","Shipping","arrives Thu, Apr 23","Shipping dates may vary","Add to cart","reg","$99.95","Sale"
"https://www.target.com/p/women-s-retro-loose-fit-straight-leg-jeans-casual-denim-pants-with-front-pockets-relaxed-trousers/-/A-1010158901?preselect=1010158902#lnk=sametab","$52.99","Women's Retro Loose Fit Straight Leg Jeans Casual Denim Pants with Front Pockets Relaxed Trousers","YesFashion","","Shipping","arrives Sat, Apr 18","Shipping dates may vary","Add to cart","reg","$62.99","Sale"
"https://www.target.com/p/imily-bela-womens-high-waisted-cropped-jeans-trendy-stretchy-baggy-straight-leg-raw-hem-capri-denim-pants/-/A-1009407360?preselect=1009407370#lnk=sametab","$60.80 - $60.96","Imily Bela Womens High Waisted Cropped Jeans Trendy Stretchy Baggy Straight Leg Raw Hem Capri Denim Pants","Imily Bela","","Shipping","arrives Tue, Apr 21","Shipping dates may vary","Add to cart","reg","$81.29","Sale"
"https://www.target.com/p/clearlove-womens-baggy-jeans-mid-low-waist-back-bow-knot-printed-wide-leg-boyfriend-streetwear-jeans-with-pockets/-/A-1009322971?preselect=1009322970#lnk=sametab","$40.99","Clearlove Womens Baggy Jeans Mid-Low Waist Back Bow Knot Printed Wide Leg Boyfriend Streetwear Jeans with Pockets","Clearlove","","Shipping","arrives Sat, Apr 18","Shipping dates may vary","Add to cart","reg","$51.99","Sale"
"https://www.target.com/p/woman-within-women-s-plus-size-petite-bootcut-stretch-jean/-/A-92018347?preselect=92018366#lnk=sametab","$44.99","Woman Within Petite Stretch Denim Five-Pocket Bootcut Jeans","Woman Within","","Shipping","arrives Fri, Apr 24","Shipping dates may vary","Add to cart","reg","$61.99 - $67.99","Sale"
"https://www.target.com/p/clearlove-women-s-boyfriend-jeans-slim-straight-cropped-jeans-with-raw-hem-rips-denim-pants/-/A-1009164170?preselect=1009164177#lnk=sametab","$43.99","Clearlove Women's Boyfriend Jeans Slim Straight Cropped Jeans with Raw Hem & Rips Denim Pants","Clearlove","","Shipping","arrives Sat, Apr 18","Shipping dates may vary","Add to cart","reg","$63.86","Sale"
"https://www.target.com/p/kancan-essentials-avery-high-rise-bootcut-jeans/-/A-1006062930?preselect=1006062934#lnk=sametab","$47.96 - $63.95","KanCan Essentials Avery High Rise Bootcut Jeans","KanCan Essentials","","Shipping","arrives Fri, Apr 17","Shipping dates may vary","Add to cart","","","Select items on sale"
