retailer,product_id,product_name,brand,color,sale_price,regular_price,on_sale,material,stretch,rise,fit,url,description
Kohls,7437759,Women's LC Lauren Conrad Super High Rise Wide Leg Jeans,LC Lauren Conrad,Dark Rinse,39.99,44.99,true,Denim construction,No,Super high rise sits on the natural waistline,Wide Leg,https://www.kohls.com/product/prd-7437759/,Women's LC Lauren Conrad Super High Rise Wide Leg Jeans
Kohls,7437759,Women's LC Lauren Conrad Super High Rise Wide Leg Jeans,LC Lauren Conrad,Layla Plum,39.99,44.99,true,Denim construction,No,Super high rise sits on the natural waistline,Wide Leg,https://www.kohls.com/product/prd-7437759/,Women's LC Lauren Conrad Super High Rise Wide Leg Jeans
Kohls,7437759,Women's LC Lauren Conrad Super High Rise Wide Leg Jeans,LC Lauren Conrad,Med Dark Blue Wash,39.99,44.99,true,Denim construction,No,Super high rise sits on the natural waistline,Wide Leg,https://www.kohls.com/product/prd-7437759/,Women's LC Lauren Conrad Super High Rise Wide Leg Jeans
Kohls,7437759,Women's LC Lauren Conrad Super High Rise Wide Leg Jeans,LC Lauren Conrad,Stone White,39.99,44.99,true,Denim construction,No,Super high rise sits on the natural waistline,Wide Leg,https://www.kohls.com/product/prd-7437759/,Women's LC Lauren Conrad Super High Rise Wide Leg Jeans
Kohls,7626838,Women's Sonoma Goods For Life® Mid-Rise Relaxed Boyfriend Jeans,Sonoma Goods For Life,Dark Wash,34.99,39.99,true,Denim construction,No,Midrise sits on the high hip,Relaxed,https://www.kohls.com/product/prd-7626838/,Women's Sonoma Goods For Life® Mid-Rise Relaxed Boyfriend Jeans
Kohls,7626838,Women's Sonoma Goods For Life® Mid-Rise Relaxed Boyfriend Jeans,Sonoma Goods For Life,Medium Utility Wash,34.99,39.99,true,Denim construction,No,Midrise sits on the high hip,Relaxed,https://www.kohls.com/product/prd-7626838/,Women's Sonoma Goods For Life® Mid-Rise Relaxed Boyfriend Jeans
Kohls,7626838,Women's Sonoma Goods For Life® Mid-Rise Relaxed Boyfriend Jeans,Sonoma Goods For Life,Vintage Wash,34.99,39.99,true,Denim construction,No,Midrise sits on the high hip,Relaxed,https://www.kohls.com/product/prd-7626838/,Women's Sonoma Goods For Life® Mid-Rise Relaxed Boyfriend Jeans
Kohls,7626838,Women's Sonoma Goods For Life® Mid-Rise Relaxed Boyfriend Jeans,Sonoma Goods For Life,Light Wash,34.99,39.99,true,Denim construction,No,Midrise sits on the high hip,Relaxed,https://www.kohls.com/product/prd-7626838/,Women's Sonoma Goods For Life® Mid-Rise Relaxed Boyfriend Jeans
Kohls,7626838,Women's Sonoma Goods For Life® Mid-Rise Relaxed Boyfriend Jeans,Sonoma Goods For Life,Dark Medium Utility,34.99,39.99,true,Denim construction,No,Midrise sits on the high hip,Relaxed,https://www.kohls.com/product/prd-7626838/,Women's Sonoma Goods For Life® Mid-Rise Relaxed Boyfriend Jeans
Kohls,7626838,Women's Sonoma Goods For Life® Mid-Rise Relaxed Boyfriend Jeans,Sonoma Goods For Life,Bright Medium Wash,34.99,39.99,true,Denim construction,No,Midrise sits on the high hip,Relaxed,https://www.kohls.com/product/prd-7626838/,Women's Sonoma Goods For Life® Mid-Rise Relaxed Boyfriend Jeans
