retailer,product_id,product_name,brand,color,sale_price,regular_price,on_sale,percent_off,url,description
Macys,23068056,"Women's Mid-Rise Curvy Capri Jeans, Exclusively at Macy's",Style & Co,Quick Dip,25.67,39.5,true,35,https://www.macys.com/shop/product/?ID=23068056,Style & Co®'s curvy capri jeans are designed to compliment your curves and celebrate your form with subtle stretch fabric that is easy to wear all day long. The contour waistband is built to prevent g
Macys,23068056,"Women's Mid-Rise Curvy Capri Jeans, Exclusively at Macy's",Style & Co,Rain Song,25.67,39.5,true,35,https://www.macys.com/shop/product/?ID=23068056,Style & Co®'s curvy capri jeans are designed to compliment your curves and celebrate your form with subtle stretch fabric that is easy to wear all day long. The contour waistband is built to prevent g
Macys,23068056,"Women's Mid-Rise Curvy Capri Jeans, Exclusively at Macy's",Style & Co,Fresh Lipstick,25.67,39.5,true,35,https://www.macys.com/shop/product/?ID=23068056,Style & Co®'s curvy capri jeans are designed to compliment your curves and celebrate your form with subtle stretch fabric that is easy to wear all day long. The contour waistband is built to prevent g
Macys,23068056,"Women's Mid-Rise Curvy Capri Jeans, Exclusively at Macy's",Style & Co,Flowering Ginger,25.67,39.5,true,35,https://www.macys.com/shop/product/?ID=23068056,Style & Co®'s curvy capri jeans are designed to compliment your curves and celebrate your form with subtle stretch fabric that is easy to wear all day long. The contour waistband is built to prevent g
Macys,23114415,"Women's High-Rise Flare-Leg Jeans, Macy's Exclusive",I.N.C. International Concepts,Grey Wash,39.75,79.5,true,50,https://www.macys.com/shop/product/?ID=23114415,"Upgrade your denim collection with these chic and versatile flare-leg jeans from I.N.C. International Concepts. ABOUT THE BRAND: I.N.C. is inspired by fabulous women—always bold, confident, and stylis"
Macys,23114416,"Women's High-Rise Straight-Leg Jeans, Macy's Exclusive ",I.N.C. International Concepts,Bright White,39.75,79.5,true,50,https://www.macys.com/shop/product/?ID=23114416,"Sleek and straight, this pair of flattering, high-rise jeans from I.N.C. International Concepts deserves to be in every closet. ABOUT THE BRAND: I.N.C. is inspired by fabulous women—always bold, confi"
Macys,23251782,"Women's High-Rise Barrel-Leg Jeans, Macy's Exclusive",I.N.C. International Concepts,Medium,39.75,79.5,true,50,https://www.macys.com/shop/product/?ID=23251782,"Styled with a hint of stretch for comfort, these trending barrel-leg jeans from I.N.C. International Concepts are the perfect addition to your denim collection."
Macys,23269396,"Women's High-Rise Rhinestone Barrel-Leg Jeans, Macy's Exclusive",I.N.C. International Concepts,Perry Wash,69.65,99.5,true,30,https://www.macys.com/shop/product/?ID=23269396,"Add some signature glamour to your denim collection with these trending barrel-leg jeans from I.N.C. International Concepts, complete with glittery rhinestones. ABOUT THE BRAND: I.N.C. is inspired by "
Macys,23307095,"Women's High-Rise Embellished Barrel-Leg Jeans, Macy's Exclusive",On 34th,Marfa Wash,53.7,89.5,true,40,https://www.macys.com/shop/product/?ID=23307095,"An instant upgrade to your denim collection, this barrel-leg style from On 34th is accentuated with chunky, sparkling beadwork at the pockets. ABOUT THE BRAND: On 34th was designed for and with women "
Macys,23354017,"Petite Wide-Leg Utility Jeans, Macy's Exclusive",Style & Co,Black Rinse,29.75,59.5,true,50,https://www.macys.com/shop/product/?ID=23354017,"Style & Co brings us a classic yet timelessly chic wide leg silhouette, the perfect casual jeans that can be paired with endless ensembles, additional pocketing adds an extra touch of contemporary to "
Macys,23354017,"Petite Wide-Leg Utility Jeans, Macy's Exclusive",Style & Co,San Jose Wash,29.75,59.5,true,50,https://www.macys.com/shop/product/?ID=23354017,"Style & Co brings us a classic yet timelessly chic wide leg silhouette, the perfect casual jeans that can be paired with endless ensembles, additional pocketing adds an extra touch of contemporary to "
Macys,23354019,"Petite Embroidered Cuff High Rise Capri Jeans, Macy's Exclusive",Style & Co,Tbd Emb Shtake,19.43,69.5,true,72,https://www.macys.com/shop/product/?ID=23354019,"Floral embroidery blooms from the cuffs of Style & Co's petite high rise jeans, bringing a charming air to the chic capri-length design."
Macys,23354019,"Petite Embroidered Cuff High Rise Capri Jeans, Macy's Exclusive",Style & Co,Embroidery Black,19.43,69.5,true,72,https://www.macys.com/shop/product/?ID=23354019,"Floral embroidery blooms from the cuffs of Style & Co's petite high rise jeans, bringing a charming air to the chic capri-length design."
Macys,23354020,"Petite Five-Pocket High-Rise Wide Leg Jeans, Macy's Exclusive",Style & Co,Shiitake,38.67,59.5,true,35,https://www.macys.com/shop/product/?ID=23354020,"A classic take on denim, the wide-leg opening on these Style & Co jeans features a high rise feature a high rise that sits at the natural waist for a flattering fit. The relaxed cut through the hip an"
Macys,23354020,"Petite Five-Pocket High-Rise Wide Leg Jeans, Macy's Exclusive",Style & Co,San Jose Wash,38.67,59.5,true,35,https://www.macys.com/shop/product/?ID=23354020,"A classic take on denim, the wide-leg opening on these Style & Co jeans features a high rise feature a high rise that sits at the natural waist for a flattering fit. The relaxed cut through the hip an"
Macys,23354020,"Petite Five-Pocket High-Rise Wide Leg Jeans, Macy's Exclusive",Style & Co,Fresno Wash,38.67,59.5,true,35,https://www.macys.com/shop/product/?ID=23354020,"A classic take on denim, the wide-leg opening on these Style & Co jeans features a high rise feature a high rise that sits at the natural waist for a flattering fit. The relaxed cut through the hip an"
Macys,23354020,"Petite Five-Pocket High-Rise Wide Leg Jeans, Macy's Exclusive",Style & Co,Irvine Wash,38.67,59.5,true,35,https://www.macys.com/shop/product/?ID=23354020,"A classic take on denim, the wide-leg opening on these Style & Co jeans features a high rise feature a high rise that sits at the natural waist for a flattering fit. The relaxed cut through the hip an"
Macys,23354021,"Women's Embroidered High-Rise Wide Leg Cropped Jeans, Macy's Exclusive",Style & Co,Embroidery Irvine,34.75,69.5,true,50,https://www.macys.com/shop/product/?ID=23354021,"Embroidered detail at the hem brings a little beauty to these cropped, high-rise jeans from Charter Club."
Macys,23354024,"Women's Embroidery High-Rise Straight Jeans, Macy's Exclusive",Style & Co,Embroidery Pomona,29.75,59.5,true,50,https://www.macys.com/shop/product/?ID=23354024,"Style & Co takes a classic denim style and subtly elevates it thanks to a sweet lace trim. A high stretch denim offers a soft handfeel and superior recovery, adapting to your body for fit and all day "
Macys,23438496,"Plus Size High Rise Rhinestone Barrel-Leg Jeans, Macy's Exclusive",I.N.C. International Concepts,Perry Wash,59.7,99.5,true,40,https://www.macys.com/shop/product/?ID=23438496,"I.N.C. International Concepts brings the shine to a pair of plus size barrel-leg jeans by adding micro-rhinestone studs to the front. ABOUT THE BRAND: I.N.C. is inspired by fabulous women—always bold,"
Macys,23473627,"Women's Plus size Light Wash High Rise Utility Cargo Jeans, Created for Macy's",On 34th,Light Wash,35.7,59.5,true,40,https://www.macys.com/shop/product/?ID=23473627,"A convenient casual pair, these high rise jeans feature cargo pockets at the sides for all of your essentials. Perfect to pair with your favorite t-shirt or sweater, these jeans will be a welcome addi"
Macys,23476270,"Women's High Rise Straight-Leg Jeans, Regular, Short and Long Lengths, Created for Macy's",Style & Co,Bright White,32.17,49.5,true,35,https://www.macys.com/shop/product/?ID=23476270,You can wear Style & Co's® high rise jeans day in and day out with added stretch and an easy straight-leg shape.
Macys,23476270,"Women's High Rise Straight-Leg Jeans, Regular, Short and Long Lengths, Created for Macy's",Style & Co,Moddy Blue,38.67,59.5,true,35,https://www.macys.com/shop/product/?ID=23476270,You can wear Style & Co's® high rise jeans day in and day out with added stretch and an easy straight-leg shape.
Macys,23476270,"Women's High Rise Straight-Leg Jeans, Regular, Short and Long Lengths, Created for Macy's",Style & Co,Render Wash,32.17,49.5,true,35,https://www.macys.com/shop/product/?ID=23476270,You can wear Style & Co's® high rise jeans day in and day out with added stretch and an easy straight-leg shape.
Macys,23476270,"Women's High Rise Straight-Leg Jeans, Regular, Short and Long Lengths, Created for Macy's",Style & Co,Deep Black,32.17,49.5,true,35,https://www.macys.com/shop/product/?ID=23476270,You can wear Style & Co's® high rise jeans day in and day out with added stretch and an easy straight-leg shape.
Macys,23476270,"Women's High Rise Straight-Leg Jeans, Regular, Short and Long Lengths, Created for Macy's",Style & Co,Grey,24.75,49.5,true,50,https://www.macys.com/shop/product/?ID=23476270,You can wear Style & Co's® high rise jeans day in and day out with added stretch and an easy straight-leg shape.
Macys,23476270,"Women's High Rise Straight-Leg Jeans, Regular, Short and Long Lengths, Created for Macy's",Style & Co,Fortress,32.17,49.5,true,35,https://www.macys.com/shop/product/?ID=23476270,You can wear Style & Co's® high rise jeans day in and day out with added stretch and an easy straight-leg shape.
Macys,23476270,"Women's High Rise Straight-Leg Jeans, Regular, Short and Long Lengths, Created for Macy's",Style & Co,Light Wash,32.17,49.5,true,35,https://www.macys.com/shop/product/?ID=23476270,You can wear Style & Co's® high rise jeans day in and day out with added stretch and an easy straight-leg shape.
Macys,23476270,"Women's High Rise Straight-Leg Jeans, Regular, Short and Long Lengths, Created for Macy's",Style & Co,Indigo Rinse,32.17,49.5,true,35,https://www.macys.com/shop/product/?ID=23476270,You can wear Style & Co's® high rise jeans day in and day out with added stretch and an easy straight-leg shape.
Macys,23477494,"Women's Mid-Rise Pull-On Jeggings, Created for Macy's",Style & Co,Ashby,32.17,49.5,true,35,https://www.macys.com/shop/product/?ID=23477494,"Add comfort to your weekend wardrobe with these pull-on jeggings from Style & Co®, featuring faux pockets at front and patch pockets at back."
Macys,23477494,"Women's Mid-Rise Pull-On Jeggings, Created for Macy's",Style & Co,Gates,32.17,49.5,true,35,https://www.macys.com/shop/product/?ID=23477494,"Add comfort to your weekend wardrobe with these pull-on jeggings from Style & Co®, featuring faux pockets at front and patch pockets at back."
Macys,23477494,"Women's Mid-Rise Pull-On Jeggings, Created for Macy's",Style & Co,Stockton,32.17,49.5,true,35,https://www.macys.com/shop/product/?ID=23477494,"Add comfort to your weekend wardrobe with these pull-on jeggings from Style & Co®, featuring faux pockets at front and patch pockets at back."
Macys,23477494,"Women's Mid-Rise Pull-On Jeggings, Created for Macy's",Style & Co,Rinse,32.17,49.5,true,35,https://www.macys.com/shop/product/?ID=23477494,"Add comfort to your weekend wardrobe with these pull-on jeggings from Style & Co®, featuring faux pockets at front and patch pockets at back."
Macys,23477494,"Women's Mid-Rise Pull-On Jeggings, Created for Macy's",Style & Co,Deep Black,32.17,49.5,true,35,https://www.macys.com/shop/product/?ID=23477494,"Add comfort to your weekend wardrobe with these pull-on jeggings from Style & Co®, featuring faux pockets at front and patch pockets at back."
Macys,23479060,"Petite High-Rise Embroidered Wide-Leg Jeans, Macy's Exclusive ",Style & Co,Embroidery Irvine,34.75,69.5,true,50,https://www.macys.com/shop/product/?ID=23479060,"Flatter your figure instantly with these stylish petite cropped jeans from Style & Co, featuring embroidery at the cuffs for a chic touch."
Macys,23497010,"Plus Size High-Rise Wide-Leg 5 Pocket Jeans, Macy's Exclusive",Style & Co,Irvine Wash,38.67,59.5,true,35,https://www.macys.com/shop/product/?ID=23497010,"A wide-leg silhouette teamed with a high rise and stretch denim makes this pair of Style & Co plus size jeans feel as good as they look. The soft, flexible fabric adapts to your body for a great fit a"
Macys,23497010,"Plus Size High-Rise Wide-Leg 5 Pocket Jeans, Macy's Exclusive",Style & Co,San Jose Wash,38.67,59.5,true,35,https://www.macys.com/shop/product/?ID=23497010,"A wide-leg silhouette teamed with a high rise and stretch denim makes this pair of Style & Co plus size jeans feel as good as they look. The soft, flexible fabric adapts to your body for a great fit a"
Macys,23497011,"Plus Size Embroidered High-Rise Straight-Leg Cropped Jeans, Macy's Exclusive",Style & Co,Embriodary  Shiitake,23.99,69.5,true,65,https://www.macys.com/shop/product/?ID=23497011,"Style & Co dresses up plus size cropped jeans with fun floral embroidery at the hem. A touch of stretch gives this pair a great fit, too."
Macys,23497011,"Plus Size Embroidered High-Rise Straight-Leg Cropped Jeans, Macy's Exclusive",Style & Co,Embroidery Black,23.99,69.5,true,65,https://www.macys.com/shop/product/?ID=23497011,"Style & Co dresses up plus size cropped jeans with fun floral embroidery at the hem. A touch of stretch gives this pair a great fit, too."
Macys,23497013,"Plus Size Embroidered Cropped 5 Pocket Jeans, Macy's Exclusive",Style & Co,Embriodary Irvine,45.17,69.5,true,35,https://www.macys.com/shop/product/?ID=23497013,Level up your denim collection with Style & Co's plus size cropped jeans. They have embroidered hems to add pretty detail to your casual looks. 
Macys,23578720,"Women's High-Rise Wide-Leg Jeans, Macy's Exclusive",Style & Co,Irvine Wash,29.75,59.5,true,50,https://www.macys.com/shop/product/?ID=23578720,"Style & Co has you covered on those days that call for a roomy wide leg with these go-to jeans. You can style them endless ways, season after season."
Macys,23578720,"Women's High-Rise Wide-Leg Jeans, Macy's Exclusive",Style & Co,Sun Wash,38.67,59.5,true,35,https://www.macys.com/shop/product/?ID=23578720,"Style & Co has you covered on those days that call for a roomy wide leg with these go-to jeans. You can style them endless ways, season after season."
Macys,23578720,"Women's High-Rise Wide-Leg Jeans, Macy's Exclusive",Style & Co,Diamond Wash,38.67,59.5,true,35,https://www.macys.com/shop/product/?ID=23578720,"Style & Co has you covered on those days that call for a roomy wide leg with these go-to jeans. You can style them endless ways, season after season."
Macys,23578720,"Women's High-Rise Wide-Leg Jeans, Macy's Exclusive",Style & Co,Bright White,38.67,59.5,true,35,https://www.macys.com/shop/product/?ID=23578720,"Style & Co has you covered on those days that call for a roomy wide leg with these go-to jeans. You can style them endless ways, season after season."
Macys,23578722,"Women's Embroidered Cropped High-Rise Straight-Leg Jeans, Macy's Exclusive",Style & Co,Embroidery Black,34.75,69.5,true,50,https://www.macys.com/shop/product/?ID=23578722,"Refresh your casual look with these Style & Co. jeans, a comfy high-rise silhouette with an ankle crop and floral embroidery at the hem."
Macys,23636953,"Women's Patch-Pocket High Rise Wide-Leg Jeans, Macy's Exclusive",On 34th,Midnight,41.7,69.5,true,40,https://www.macys.com/shop/product/?ID=23636953,"A smart update to any denim rotation, our wide-leg jeans are refreshed with welt patch pockets at the front plus classic patch pockets at the back. ABOUT THE BRAND: Our brand was designed for and with"
Macys,23636953,"Women's Patch-Pocket High Rise Wide-Leg Jeans, Macy's Exclusive",On 34th,Bright White,47.7,79.5,true,40,https://www.macys.com/shop/product/?ID=23636953,"A smart update to any denim rotation, our wide-leg jeans are refreshed with welt patch pockets at the front plus classic patch pockets at the back. ABOUT THE BRAND: Our brand was designed for and with"
Macys,23811284,"Women's High-Rise Side-Stripe Wide-Leg Jeans, Macy's Exclusive ",Bar III,Light Ash,41.7,69.5,true,40,https://www.macys.com/shop/product/?ID=23811284,"Make a bold statement with these women's high-rise wide-leg jeans from Bar III, featuring a striking contrast side stripe for a modern finish."
Macys,23811293,"Women's Rhinestone Embellished Barrel-Leg Jeans, Macy's Exclusive",Bar III,Gray Wash,41.7,69.5,true,40,https://www.macys.com/shop/product/?ID=23811293,"Sparkling rhinestone embellishments decorate the front of Bar III's high rise jeans, bringing a glamourous touch to this contemporary barrel-leg design."
