"plp_product-image href","plp_product-card__image src","plp_zoom-image src","plp_zoom-image src 2","plp_product-image__video src","plp_zoom-image src 3","plp_zoom-image src 4","plp_zoom-image src 5","plp_zoom-image src 6","plp_zoom-image src 7","badgeOverlayWrapper src","fds__card-copy","fds__core-web-price-small","fds__merchandising-marketing-flag","plp_zoom-image src 8","fds__core-web-original-price","fds__core-web-price-percent-off","fds__card-overflow-link","fds__card-overflow-link href","badgeOverlayWrapper"
"https://oldnavy.gap.com/browse/product.do?pid=849536002&vid=1&pcid=85729&cid=85729&nav=meganav%3AWomen%3AShop+Women%27s+Categories%3AJeans","https://www1.assets-gap.com/webcontent/0054/992/808/cn54992808.jpg?q=h&w=768","https://www1.assets-gap.com/webcontent/0054/992/809/cn54992809.jpg?q=h&w=768","https://www1.assets-gap.com/webcontent/0054/992/575/cn54992575.jpg?q=h&w=768","","https://www1.assets-gap.com/webcontent/0057/102/023/cn57102023.jpg?q=h&w=768","https://www1.assets-gap.com/webcontent/0057/102/019/cn57102019.jpg?q=h&w=768","https://www1.assets-gap.com/webcontent/0055/020/921/cn55020921.jpg?q=h&w=768","https://www1.assets-gap.com/webcontent/0055/020/842/cn55020842.jpg?q=h&w=768","","","Curvy High-Waisted OG Straight Ankle Jeans","$29.99","Card Exclusive! $23.99 with Code VIP","","$49.99","40% Off","","",""
"https://oldnavy.gap.com/browse/product.do?pid=864342002&vid=1&pcid=85729&cid=85729&nav=meganav%3AWomen%3AShop+Women%27s+Categories%3AJeans","https://www1.assets-gap.com/webcontent/0062/004/136/cn62004136.jpg?q=h&w=768","https://www1.assets-gap.com/webcontent/0061/979/126/cn61979126.jpg?q=h&w=768","https://www1.assets-gap.com/webcontent/0061/979/141/cn61979141.jpg?q=h&w=768","","https://www1.assets-gap.com/webcontent/0061/979/134/cn61979134.jpg?q=h&w=768","https://www1.assets-gap.com/webcontent/0061/703/312/cn61703312.jpg?q=h&w=768","https://www1.assets-gap.com/webcontent/0061/703/288/cn61703288.jpg?q=h&w=768","https://www1.assets-gap.com/webcontent/0061/703/284/cn61703284.jpg?q=h&w=768","https://www1.assets-gap.com/webcontent/0061/703/295/cn61703295.jpg?q=h&w=768","","High-Waisted Barrel Jeans","$38.49","Card Exclusive! $30.79 with Code VIP","","$54.99","30% Off","","",""
"https://oldnavy.gap.com/browse/product.do?pid=884719002&vid=1&pcid=85729&cid=85729&nav=meganav%3AWomen%3AShop+Women%27s+Categories%3AJeans","https://www1.assets-gap.com/webcontent/0061/903/529/cn61903529.jpg?q=h&w=768","https://www1.assets-gap.com/webcontent/0061/903/470/cn61903470.jpg?q=h&w=768","https://www1.assets-gap.com/webcontent/0061/904/088/cn61904088.jpg?q=h&w=768","","https://www1.assets-gap.com/webcontent/0061/839/641/cn61839641.jpg?q=h&w=768","https://www1.assets-gap.com/webcontent/0061/903/499/cn61903499.jpg?q=h&w=768","https://www1.assets-gap.com/webcontent/0061/839/655/cn61839655.jpg?q=h&w=768","https://www1.assets-gap.com/webcontent/0061/839/647/cn61839647.jpg?q=h&w=768","https://www1.assets-gap.com/webcontent/0061/852/743/cn61852743.jpg?q=h&w=768","","High-Waisted OG Jean Cut-Off Shorts -- 7-inch inseam","$27.99","Card Exclusive! $22.39 with Code VIP","","$39.99","30% Off","","",""
"https://oldnavy.gap.com/browse/product.do?pid=849408002&vid=1&pcid=85729&cid=85729&nav=meganav%3AWomen%3AShop+Women%27s+Categories%3AJeans","https://www1.assets-gap.com/webcontent/0054/977/864/cn54977864.jpg?q=h&w=768","https://www1.assets-gap.com/webcontent/0054/978/279/cn54978279.jpg?q=h&w=768","https://www1.assets-gap.com/webcontent/0054/978/280/cn54978280.jpg?q=h&w=768","","https://www1.assets-gap.com/webcontent/0054/724/821/cn54724821.jpg?q=h&w=768","https://www1.assets-gap.com/webcontent/0054/880/833/cn54880833.jpg?q=h&w=768","https://www1.assets-gap.com/webcontent/0054/880/692/cn54880692.jpg?q=h&w=768","https://www1.assets-gap.com/webcontent/0054/802/892/cn54802892.jpg?q=h&w=768","https://www1.assets-gap.com/webcontent/0054/803/054/cn54803054.jpg?q=h&w=768","https://digitalassets.gapinc.com/AssetLink/4eja5y48532xxtcc2njvhsw504ca5b27.svg?TP=NAV/","High-Waisted Wow Jean Shorts -- 5-inch inseam","$29.99","","","","","","",""
"https://oldnavy.gap.com/browse/product.do?pid=846994002&vid=1&pcid=85729&cid=85729&nav=meganav%3AWomen%3AShop+Women%27s+Categories%3AJeans","https://www1.assets-gap.com/webcontent/0055/118/988/cn55118988.jpg?q=h&w=768","https://www1.assets-gap.com/webcontent/0055/119/002/cn55119002.jpg?q=h&w=768","https://www1.assets-gap.com/webcontent/0055/118/893/cn55118893.jpg?q=h&w=768","","https://www1.assets-gap.com/webcontent/0055/070/315/cn55070315.jpg?q=h&w=768","https://www1.assets-gap.com/webcontent/0055/070/561/cn55070561.jpg?q=h&w=768","https://www1.assets-gap.com/webcontent/0054/924/807/cn54924807.jpg?q=h&w=768","https://www1.assets-gap.com/webcontent/0054/924/816/cn54924816.jpg?q=h&w=768","https://www1.assets-gap.com/webcontent/0060/205/478/cn60205478.jpg?q=h&w=768","","High-Waisted Rockstar Super-Skinny Jeans","$29.99","Card Exclusive! $23.99 with Code VIP","","$49.99","40% Off","","",""
"https://oldnavy.gap.com/browse/product.do?pid=593446002&vid=1&pcid=85729&cid=85729&nav=meganav%3AWomen%3AShop+Women%27s+Categories%3AJeans","https://www1.assets-gap.com/webcontent/0057/203/794/cn57203794.jpg?q=h&w=768","https://www1.assets-gap.com/webcontent/0057/203/779/cn57203779.jpg?q=h&w=768","https://www1.assets-gap.com/webcontent/0057/203/800/cn57203800.jpg?q=h&w=768","","https://www1.assets-gap.com/webcontent/0056/949/948/cn56949948.jpg?q=h&w=768","https://www1.assets-gap.com/webcontent/0057/028/781/cn57028781.jpg?q=h&w=768","https://www1.assets-gap.com/webcontent/0057/028/802/cn57028802.jpg?q=h&w=768","https://www1.assets-gap.com/webcontent/0057/326/833/cn57326833.jpg?q=h&w=768","https://www1.assets-gap.com/webcontent/0057/326/835/cn57326835.jpg?q=h&w=768","","High-Waisted OG Jean Cut-Off Shorts","$9.97","Clearance: Final sale. No returns or exchanges.","","$39.99","75% Off","","",""
"https://oldnavy.gap.com/browse/product.do?pid=864650002&vid=1&pcid=85729&cid=85729&nav=meganav%3AWomen%3AShop+Women%27s+Categories%3AJeans","https://www1.assets-gap.com/webcontent/0060/974/086/cn60974086.jpg?q=h&w=768","https://www1.assets-gap.com/webcontent/0060/974/210/cn60974210.jpg?q=h&w=768","https://www1.assets-gap.com/webcontent/0060/974/220/cn60974220.jpg?q=h&w=768","","https://www1.assets-gap.com/webcontent/0060/947/853/cn60947853.jpg?q=h&w=768","https://www1.assets-gap.com/webcontent/0060/947/852/cn60947852.jpg?q=h&w=768","","","","https://digitalassets.gapinc.com/AssetLink/67a2w0581i8535v6sh42614s840i370p.svg?TP=NAV/","Old Navy x Anna Sui Slim Boot Cut Jeans","$17.97","Clearance: Price as marked.","","$69.99","74% Off","","",""
"https://oldnavy.gap.com/browse/product.do?pid=856823002&vid=3&pcid=85729&cid=85729&nav=meganav%3AWomen%3AShop+Women%27s+Categories%3AJeans","https://www1.assets-gap.com/webcontent/0056/918/649/cn56918649.jpg?q=h&w=768","https://www1.assets-gap.com/webcontent/0056/918/807/cn56918807.jpg?q=h&w=768","https://www1.assets-gap.com/webcontent/0056/918/811/cn56918811.jpg?q=h&w=768","https://www1.assets-gap.com/webcontent/0057/101/285/cn57101285.mp4","https://www1.assets-gap.com/webcontent/0054/705/617/cn54705617.jpg?q=h&w=768","https://www1.assets-gap.com/webcontent/0055/894/430/cn55894430.jpg?q=h&w=768","https://www1.assets-gap.com/webcontent/0055/894/450/cn55894450.jpg?q=h&w=768","https://www1.assets-gap.com/webcontent/0055/916/852/cn55916852.jpg?q=h&w=768","https://www1.assets-gap.com/webcontent/0055/916/854/cn55916854.jpg?q=h&w=768","","Extra High-Waisted Flare Jeans","$15.97","Clearance: Final sale. No returns or exchanges.","","$44.99","65% Off","","",""
"https://oldnavy.gap.com/browse/product.do?pid=580102002&vid=1&pcid=85729&cid=85729&nav=meganav%3AWomen%3AShop+Women%27s+Categories%3AJeans","https://www1.assets-gap.com/webcontent/0052/285/494/cn52285494.jpg?q=h&w=768","https://www1.assets-gap.com/webcontent/0052/285/502/cn52285502.jpg?q=h&w=768","https://www1.assets-gap.com/webcontent/0050/729/920/cn50729920.jpg?q=h&w=768","","https://www1.assets-gap.com/webcontent/0026/972/501/cn26972501.jpg?q=h&w=768","https://www1.assets-gap.com/webcontent/0052/611/008/cn52611008.jpg?q=h&w=768","https://www1.assets-gap.com/webcontent/0052/610/867/cn52610867.jpg?q=h&w=768","https://www1.assets-gap.com/webcontent/0050/981/949/cn50981949.jpg?q=h&w=768","https://www1.assets-gap.com/webcontent/0050/981/943/cn50981943.jpg?q=h&w=768","","High-Waisted Power Slim Straight Black Jeans","$22.47","Clearance: Price as marked.","","$44.99","50% Off","","",""
"https://oldnavy.gap.com/browse/product.do?pid=547207002&vid=1&pcid=85729&cid=85729&nav=meganav%3AWomen%3AShop+Women%27s+Categories%3AJeans","https://www1.assets-gap.com/webcontent/0052/600/770/cn52600770.jpg?q=h&w=768","https://www1.assets-gap.com/webcontent/0052/600/787/cn52600787.jpg?q=h&w=768","https://www1.assets-gap.com/webcontent/0052/496/230/cn52496230.jpg?q=h&w=768","","https://www1.assets-gap.com/webcontent/0052/452/708/cn52452708.jpg?q=h&w=768","https://www1.assets-gap.com/webcontent/0052/559/016/cn52559016.jpg?q=h&w=768","https://www1.assets-gap.com/webcontent/0052/558/788/cn52558788.jpg?q=h&w=768","https://www1.assets-gap.com/webcontent/0052/559/042/cn52559042.jpg?q=h&w=768","https://www1.assets-gap.com/webcontent/0052/558/803/cn52558803.jpg?q=h&w=768","","Mid-Rise Rockstar Super-Skinny Ankle Jeans","$12.49","Clearance: Price as marked.","","$49.99","75% Off","","",""
"https://oldnavy.gap.com/browse/product.do?pid=695253002&vid=1&pcid=85729&cid=85729&nav=meganav%3AWomen%3AShop+Women%27s+Categories%3AJeans","https://www1.assets-gap.com/webcontent/0057/724/663/cn57724663.jpg?q=h&w=768","https://www1.assets-gap.com/webcontent/0057/724/649/cn57724649.jpg?q=h&w=768","https://www1.assets-gap.com/webcontent/0057/724/652/cn57724652.jpg?q=h&w=768","","https://www1.assets-gap.com/webcontent/0057/489/561/cn57489561.jpg?q=h&w=768","https://www1.assets-gap.com/webcontent/0058/114/224/cn58114224.jpg?q=h&w=768","https://www1.assets-gap.com/webcontent/0058/114/202/cn58114202.jpg?q=h&w=768","https://www1.assets-gap.com/webcontent/0057/683/425/cn57683425.jpg?q=h&w=768","https://www1.assets-gap.com/webcontent/0057/683/410/cn57683410.jpg?q=h&w=768","","High-Waisted OG Jean Cut-Off Shorts -- 5-inch inseam","$9.97","Clearance: Final sale. No returns or exchanges.","","$39.99","75% Off","","",""
"https://oldnavy.gap.com/browse/product.do?pid=846780012&vid=1&pcid=85729&cid=85729&nav=meganav%3AWomen%3AShop+Women%27s+Categories%3AJeans","https://www1.assets-gap.com/webcontent/0055/194/668/cn55194668.jpg?q=h&w=768","https://www1.assets-gap.com/webcontent/0055/193/762/cn55193762.jpg?q=h&w=768","https://www1.assets-gap.com/webcontent/0055/194/175/cn55194175.jpg?q=h&w=768","","https://www1.assets-gap.com/webcontent/0055/057/490/cn55057490.jpg?q=h&w=768","https://www1.assets-gap.com/webcontent/0055/194/649/cn55194649.jpg?q=h&w=768","https://www1.assets-gap.com/webcontent/0055/194/650/cn55194650.jpg?q=h&w=768","https://www1.assets-gap.com/webcontent/0055/206/312/cn55206312.jpg?q=h&w=768","https://www1.assets-gap.com/webcontent/0055/206/180/cn55206180.jpg?q=h&w=768","https://digitalassets.gapinc.com/AssetLink/4eja5y48532xxtcc2njvhsw504ca5b27.svg?TP=NAV/","High-Waisted Wow Jean Shorts -- 3-inch inseam","$6.97","Clearance: Final sale. No returns or exchanges.","","$29.99","77% Off","","",""
