"styles_ndsLink__GUaai href","styles_pictureLazy__1fLzp src","styles_styledBodyMdText__lJVEV","styles_ndsTruncate__0rtO0","styles_ndsLink__GUaai","styles_ratingsAndReviews__B6_gt href","styles_pictureLazy__1fLzp src 2","styles_pictureLazy__1fLzp src 3","styles_pictureLazy__1fLzp src 4","h-text-greenDark","h-text-grayDark","h-text-bold 2","styles_pictureLazy__1fLzp src 6","styles_btn__1hjpW 2","h-text-orangeDark","h-margin-v-tiny","h-text-bold 3","h-text-greenDark 2"
"https://www.target.com/p/women-s-80-s-slim-mid-rise-ankle-length-pant-universal-thread/-/A-94938590?preselect=1003954086#lnk=sametab","https://target.scene7.com/is/image/Target/GUEST_8d5cafd3-c440-440f-8f5a-72c4434aa731?qlt=65&fmt=webp&hei=350&wid=350","$35.00","Women's 80's Slim Mid-Rise Ankle Length Pant - Universal Thread™","Universal Thread","[object Object]","https://target.scene7.com/is/image/Target/baseswatch?color=68%2C92%2C116&wid=15&hei=15&qlt=80&fmt=webp","https://target.scene7.com/is/image/Target/baseswatch?color=206%2C219%2C230&wid=15&hei=15&qlt=80&fmt=webp","https://target.scene7.com/is/image/Target/baseswatch?color=162%2C179%2C201&wid=15&hei=15&qlt=80&fmt=webp","arrives Thu, Apr 30","Shipping dates may vary","1k+","https://target.scene7.com/is/image/Target/GUEST_5d12b9cd-2427-4b64-91b6-7cfe0faa4718?qlt=65&fmt=webp&hei=350&wid=350","View similar","","","",""
"https://www.target.com/p/women-s-low-rise-straight-leg-jeans-wild-fable/-/A-94882657?preselect=94861362#lnk=sametab","https://target.scene7.com/is/image/Target/GUEST_37e1f88a-c101-49b5-bf16-4a23931bc761?qlt=65&fmt=webp&hei=350&wid=350","$28.00","Women's Low-Rise Straight Leg Jeans - Wild Fable™","Wild Fable","[object Object]","https://target.scene7.com/is/image/Target/baseswatch?color=107%2C136%2C162&wid=15&hei=15&qlt=80&fmt=webp","https://target.scene7.com/is/image/Target/baseswatch?color=72%2C100%2C140&wid=15&hei=15&qlt=80&fmt=webp","https://target.scene7.com/is/image/Target/GUEST_37e1f88a-c101-49b5-bf16-4a23931bc761?cropN=0.48333344%2C0.47666672%2C0.07%2C0.07&wid=15&hei=15&qlt=80&fmt=webp","arrives Thu, Apr 30","Shipping dates may vary","","https://target.scene7.com/is/image/Target/GUEST_029d0d23-0b6f-47b9-a57e-c1cda4658d1b?qlt=65&fmt=webp&hei=350&wid=350","","Only 2 left","at  Sacramento SW","Pickup","ready within 2 hours"
"https://www.target.com/p/women-s-high-rise-easy-barrel-jeans-universal-thread/-/A-94860304?preselect=94765834#lnk=sametab","https://target.scene7.com/is/image/Target/GUEST_060ac2ac-e9d4-4241-8f57-4b357db47e98?qlt=65&fmt=webp&hei=350&wid=350","$38.00","Women's High-Rise Easy Barrel Jeans - Universal Thread™","Universal Thread","[object Object]","https://target.scene7.com/is/image/Target/baseswatch?color=244%2C244%2C244&wid=15&hei=15&qlt=80&fmt=webp","https://target.scene7.com/is/image/Target/baseswatch?color=133%2C159%2C197&wid=15&hei=15&qlt=80&fmt=webp","","arrives Thu, Apr 30","Shipping dates may vary","","","","Only 2 left","at  Sacramento SW","Pickup","ready within 2 hours"
"https://www.target.com/p/women-s-everyday-high-rise-straight-jeans-universal-thread/-/A-94441213?preselect=94333043#lnk=sametab","https://target.scene7.com/is/image/Target/GUEST_f91fee29-6e00-4d9e-b93e-51eac209590a?qlt=65&fmt=webp&hei=350&wid=350","$28.00","Women's High-Rise Straight Jeans - Universal Thread™","Universal Thread","[object Object]","https://target.scene7.com/is/image/Target/baseswatch?color=89%2C121%2C158&wid=15&hei=15&qlt=80&fmt=webp","https://target.scene7.com/is/image/Target/GUEST_7dd45cc0-f51e-45b1-a28b-e06a60561d5f?cropN=0.661%2C0.719%2C0.040%2C0.040&size=50%2C50&op_blur=50&wid=15&hei=15&qlt=80&fmt=webp","https://target.scene7.com/is/image/Target/GUEST_88d2c8c9-4d30-4c8e-81c1-0f86f95d1636?cropN=0.502%2C0.095%2C0.070%2C0.070&size=50%2C50&op_blur=50&wid=15&hei=15&qlt=80&fmt=webp","arrives Sat, May 2","Shipping dates may vary","1k+","","","","","",""
"https://www.target.com/p/women-s-highest-rise-vintage-straight-jeans-universal-thread/-/A-94836116?preselect=94802702#lnk=sametab","https://target.scene7.com/is/image/Target/GUEST_7e7bd437-863b-48dc-8bbf-10c558b10be7?qlt=65&fmt=webp&hei=350&wid=350","$30.40 - $38.00","Women's Highest-Rise Vintage Straight Jeans - Universal Thread™","Universal Thread","[object Object]","https://target.scene7.com/is/image/Target/GUEST_a4951055-e54d-45a5-893d-afd80ad71e56?cropN=0.3759723%2C0.29152784%2C0.08333343%2C0.08333343&wid=15&hei=15&qlt=80&fmt=webp","https://target.scene7.com/is/image/Target/GUEST_19737df0-760e-4ef4-8c90-bab00460369a?cropN=0.42833328%2C0.335%2C0.04333328%2C0.04333328&wid=15&hei=15&qlt=80&fmt=webp","https://target.scene7.com/is/image/Target/GUEST_7e7bd437-863b-48dc-8bbf-10c558b10be7?cropN=0.4%2C0.27666673%2C0.06%2C0.06&wid=15&hei=15&qlt=80&fmt=webp","arrives Thu, Apr 30","Shipping dates may vary","","","","Only 1 left","at  Sacramento SW","Pickup","ready within 2 hours"
"https://www.target.com/p/women-s-highest-rise-striped-sailor-straight-jeans-universal-thread-white/-/A-94836317?preselect=94766026#lnk=sametab","https://target.scene7.com/is/image/Target/GUEST_a5216b39-e90b-4c8d-acd4-065e95d5713c?qlt=65&fmt=webp&hei=350&wid=350","$35.00","Women's Highest-Rise Striped Sailor Straight Jeans - Universal Thread™ White","Universal Thread","[object Object]","","","","arrives Thu, Apr 30","Shipping dates may vary","800+","","","Only 1 left","at  Sacramento SW","Pickup","ready within 2 hours"
"https://www.target.com/p/kbb-by-kahlana-women-s-mid-rise-barrel-leg-the-kahlana-jean/-/A-94903589?preselect=94893212#lnk=sametab","https://target.scene7.com/is/image/Target/GUEST_494f5542-8968-48ab-9b53-774286acb631?qlt=65&fmt=webp&hei=350&wid=350","$50.00","KBB by KAHLANA Women's Mid-Rise Barrel Leg 'The Kahlana Jean'","KBB by Kahlana","[object Object]","https://target.scene7.com/is/image/Target/GUEST_f85bc51e-4d83-42a5-9060-a1db8dd935f7?cropN=0.55416656%2C0.4833333%2C0.029166717%2C0.029166717&wid=15&hei=15&qlt=80&fmt=webp","https://target.scene7.com/is/image/Target/GUEST_ac591444-46c2-401e-8d94-26721e649712?cropN=0.414%2C0.694%2C0.040%2C0.040&size=50%2C50&op_blur=50&wid=15&hei=15&qlt=80&fmt=webp","","arrives Thu, Apr 30","Shipping dates may vary","100+","","","Only 2 left","at  Rancho Cordova","Delivery","as soon as 6pm"
"https://www.target.com/p/kbb-by-kahlana-women-s-barrel-leg-the-paper-bag-jean/-/A-94908565?preselect=94892870#lnk=sametab","https://target.scene7.com/is/image/Target/GUEST_9ffa78a8-7236-4630-b9a7-1762cf90ca7c?qlt=65&fmt=webp&hei=350&wid=350","$55.00","KBB by KAHLANA Women's Barrel Leg 'The Paper Bag Jean'","KBB by Kahlana","[object Object]","https://target.scene7.com/is/image/Target/GUEST_c8bec096-2fa7-4501-a432-b57a2423f347?cropN=0.5604167%2C0.75%2C0.03541664%2C0.03541664&wid=15&hei=15&qlt=80&fmt=webp","","","arrives Thu, Apr 30","Shipping dates may vary","","","","","","",""
"https://www.target.com/p/levi-s-women-s-501-jeans/-/A-92690344?preselect=92463576#lnk=sametab","https://target.scene7.com/is/image/Target/GUEST_0af4b9e5-37bc-498e-a97f-a1047e73b166?qlt=65&fmt=webp&hei=350&wid=350","$69.99 - $74.99","Levi's® Women's High-Rise 501® Jeans","Levi's","[object Object]","https://target.scene7.com/is/image/Target/GUEST_4d16cd0e-6dbb-4f51-8f2e-6182fb00047d?cropN=0.591%2C0.188%2C0.040%2C0.040&size=50%2C50&op_blur=50&wid=15&hei=15&qlt=80&fmt=webp","https://target.scene7.com/is/image/Target/baseswatch?color=173%2C183%2C191&wid=15&hei=15&qlt=80&fmt=webp","https://target.scene7.com/is/image/Target/GUEST_b49a3522-e22b-4228-a44e-2bbcbf58316d?cropN=0.3788887%2C0.34111094%2C0.09555565%2C0.09555565&wid=15&hei=15&qlt=80&fmt=webp","arrives Thu, Apr 30","Shipping dates may vary","100+","","","","","",""
"https://www.target.com/p/women-s-highest-rise-sailor-straight-jeans-universal-thread/-/A-94856190?preselect=94766082#lnk=sametab","https://target.scene7.com/is/image/Target/GUEST_46331308-1b65-4cb6-860b-f0d4aaaf3978?qlt=65&fmt=webp&hei=350&wid=350","$29.75","Women's Highest-Rise Sailor Straight Jeans - Universal Thread™","Universal Thread","[object Object]","","","","","","100+","https://target.scene7.com/is/image/Target/GUEST_1e75c423-e97f-488c-a8d2-065d20f87b58?qlt=65&fmt=webp&hei=350&wid=350","View similar","","","",""
